,dt,dataset,data_directory,clean_file,lat,lon,rad,N,sample_freq,burn_unit,geometry,max_FRP_index,max_FRP_datetime,max_FRP,mean_FRP,var_FRP,MW_FRE,LW_FRE,processed_file,fire_duration,pstart_ind,pend_ind,fire_start,fire_end,over_1000FRP_duration
20,2022-03-02T21:58:27+00:00,6.3_F17_2022-03-02T21:58:27+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_F17_2022-03-02T21:58:27+00:00.csv,32.06655,-81.739947,F17,72774,1.0,F6.3,POINT (430157.7272106558 3548051.737635931),64536,2022-03-03 15:54:03+00:00,30800.66122070883,9599.98244168043,75135013.28234501,1499745.2776843947,1480373.8027267845,Processed/6.3_F17_2022-03-02T21:58:27+00:00,1.7,64524,64626,2022-03-03 15:53:51+00:00,2022-03-03 15:55:33+00:00,2.6166666666666667
21,2022-03-02T13:08:54+00:00,6.3_F2_2022-03-02T13:08:54+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_F2_2022-03-02T13:08:54+00:00.csv,32.046952,-81.724632,F2,19122,1.0,F6.4,POINT (431588.7337006622 3545869.5418328876),12842,2022-03-02 16:42:56+00:00,8396.815104980786,2186.109222419247,1877385.2155884865,2668315.7470187726,2672428.903804805,Processed/6.3_F2_2022-03-02T13:08:54+00:00,17.866666666666667,11877,12949,2022-03-02 16:26:51+00:00,2022-03-02 16:44:43+00:00,22.75
22,2022-03-02T21:43:28+00:00,6.3_F2_2022-03-02T21:43:28+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_F2_2022-03-02T21:43:28+00:00.csv,32.063195,-81.741523,F2,74693,1.0,F6.3,POINT (430006.4124473473 3547680.864786763),65905,2022-03-03 16:01:53+00:00,4820.636941129856,2589.563709952722,1144917.759251135,2367729.672090092,2355320.983675508,Processed/6.3_F2_2022-03-02T21:43:28+00:00,12.25,65503,66238,2022-03-03 15:55:11+00:00,2022-03-03 16:07:26+00:00,16.55
23,2022-03-02T20:08:55+00:00,6.3_W8_2022-03-02T20:08:55+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_W8_2022-03-02T20:08:55+00:00.csv,32.064148,-81.734302,W8,79045,1.0,F6.3,POINT (430688.7498725531 3547781.8421223345),70733,2022-03-03 15:47:48+00:00,24179.546897674652,5723.655404228791,37747963.65370144,2451147.360664336,2432553.5467972355,Processed/6.3_W8_2022-03-02T20:08:55+00:00,5.033333333333333,70707,71009,2022-03-03 15:47:22+00:00,2022-03-03 15:52:24+00:00,7.3
24,2022-03-01T14:50:49+00:00,6.3_F6_2022-03-01T14:50:49+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_F6_2022-03-01T14:50:49+00:00.csv,31.859048,-81.558127,F6,8,1.0,unknown,POINT (447201.06025360234 3524948.1416930472),0,2022-03-01 14:50:49+00:00,0.0,0.0,0.0,0.0,0.0,Processed/6.3_F6_2022-03-01T14:50:49+00:00,0.0,0,0,2022-03-01 14:50:49+00:00,2022-03-01 14:50:49+00:00,0.0
25,2022-03-01T16:07:32+00:00,6.3_F6_2022-03-01T16:07:32+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_F6_2022-03-01T16:07:32+00:00.csv,32.067812,-81.717987,F6,93494,1.0,F6.4,POINT (432231.4714747649 3548177.625287722),0,2022-03-01 16:07:32+00:00,0.0,0.0,0.0,0.0,0.0,Processed/6.3_F6_2022-03-01T16:07:32+00:00,0.0,0,0,2022-03-01 16:07:32+00:00,2022-03-01 16:07:32+00:00,0.0
26,2022-03-02T21:05:49+00:00,6.3_F6_2022-03-02T21:05:49+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_F6_2022-03-02T21:05:49+00:00.csv,32.062948,-81.731428,F6,77580,1.0,F6.3,POINT (430959.1336347463 3547646.9828682924),67302,2022-03-03 15:47:31+00:00,54963.42593808098,8608.14422204964,99034213.27840056,3512242.4557723105,3470038.316744329,Processed/6.3_F6_2022-03-02T21:05:49+00:00,4.4,67275,67539,2022-03-03 15:47:04+00:00,2022-03-03 15:51:28+00:00,6.7
27,2022-03-01T17:45:25+00:00,6.3_W21_2022-03-01T17:45:25+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_W21_2022-03-01T17:45:25+00:00.csv,32.052783,-81.731295,W21,90298,1.0,F6.4,POINT (430964.0543091811 3546520.133563791),81957,2022-03-02 16:31:22+00:00,15704.213864900437,5948.319691069512,20645722.77242581,2129377.0210030945,2106578.4043596853,Processed/6.3_W21_2022-03-01T17:45:25+00:00,4.233333333333333,81881,82135,2022-03-02 16:30:06+00:00,2022-03-02 16:34:20+00:00,5.883333333333334
28,2022-03-03T13:50:39+00:00,6.3_W21_2022-03-03T13:50:39+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_W21_2022-03-03T13:50:39+00:00.csv,32.056242,-81.742433,W21,19191,1.0,F6.3,POINT (429915.2125178344 3546910.732011908),8686,2022-03-03 16:15:25+00:00,19709.57208162857,5563.501538825358,30507250.522976175,2376465.900373075,2352416.0153349186,Processed/6.3_W21_2022-03-03T13:50:39+00:00,4.683333333333334,8647,8928,2022-03-03 16:14:46+00:00,2022-03-03 16:19:27+00:00,7.133333333333334
29,2022-03-02T20:17:56+00:00,6.3_W3_2022-03-02T20:17:56+00:00,/home/jepaki/Projects/FortStewart/F_units,Clean/6.3_W3_2022-03-02T20:17:56+00:00.csv,32.064918,-81.735177,W3,77789,1.0,F6.3,POINT (430606.73748905153 3547867.757073755),71816,2022-03-03 16:14:52+00:00,21049.84792477853,7540.404077035121,28379661.856627923,4324257.853564147,4267868.707601879,Processed/6.3_W3_2022-03-02T20:17:56+00:00,7.466666666666667,71774,72222,2022-03-03 16:14:10+00:00,2022-03-03 16:21:38+00:00,9.416666666666666
30,2022-03-04T16:29:28+00:00,DB_16_2022-03-04T16:29:28+00:00,/home/jepaki/Projects/FortStewart/E_units,Clean/DB_16_2022-03-04T16:29:28+00:00.csv,31.996552,-81.839332,16,4,1.0,unknown,POINT (420716.38682012993 3540361.2256780877),0,2022-03-04 16:29:28+00:00,0.0,0.0,0.0,0.0,0.0,Processed/DB_16_2022-03-04T16:29:28+00:00,0.0,0,0,2022-03-04 16:29:28+00:00,2022-03-04 16:29:28+00:00,0.0
31,2022-03-04T16:29:40+00:00,DB_16_2022-03-04T16:29:40+00:00,/home/jepaki/Projects/FortStewart/E_units,Clean/DB_16_2022-03-04T16:29:40+00:00.csv,31.996567,-81.839318,16,105619,1.0,unknown,POINT (420717.72221401846 3540362.878126918),94227,2022-03-05 18:40:07+00:00,21369.05663966386,3235.882359645208,10708449.16209764,7857932.041159738,7908692.3902523955,Processed/DB_16_2022-03-04T16:29:40+00:00,33.416666666666664,94215,96220,2022-03-05 18:39:55+00:00,2022-03-05 19:13:20+00:00,43.233333333333334
32,2022-03-04T18:47:58+00:00,DB_19_2022-03-04T18:47:58+00:00,/home/jepaki/Projects/FortStewart/E_units,Clean/DB_19_2022-03-04T18:47:58+00:00.csv,31.999932,-81.819623,19,98373,1.0,E16.3,POINT (422581.00331580313 3540721.607385887),86118,2022-03-05 18:43:16+00:00,30820.79151582914,8007.622765608502,65644926.396844484,2607684.2233455554,2586462.1532915463,Processed/DB_19_2022-03-04T18:47:58+00:00,3.6166666666666667,86087,86304,2022-03-05 18:42:45+00:00,2022-03-05 18:46:22+00:00,5.583333333333333
33,2022-03-04T16:39:50+00:00,DB_25_2022-03-04T16:39:50+00:00,/home/jepaki/Projects/FortStewart/E_units,Clean/DB_25_2022-03-04T16:39:50+00:00.csv,31.994677,-81.836758,25,104595,1.0,E16.2,POINT (420957.9270750926 3540151.501838693),94486,2022-03-05 18:54:36+00:00,27035.37287759369,1812.434842523685,7715056.333219869,10660006.874801105,11007892.603832606,Processed/DB_25_2022-03-04T16:39:50+00:00,102.35,94486,100627,2022-03-05 18:54:36+00:00,2022-03-05 20:36:57+00:00,116.15
34,2022-03-04T17:47:38+00:00,DB_7_2022-03-04T17:47:38+00:00,/home/jepaki/Projects/FortStewart/E_units,Clean/DB_7_2022-03-04T17:47:38+00:00.csv,31.998603,-81.826262,7,98634,1.0,E16.3,POINT (421952.7593984597 3540579.0644938094),89902,2022-03-05 18:46:00+00:00,7319.903953045713,5328.037490028992,1522839.908929996,4864002.262285525,4800561.77851612,Processed/DB_7_2022-03-04T17:47:38+00:00,12.966666666666667,89543,90321,2022-03-05 18:40:01+00:00,2022-03-05 18:52:59+00:00,15.0
35,2022-03-04T17:09:33+00:00,DB_13_2022-03-04T17:09:33+00:00,/home/jepaki/Projects/FortStewart/E_units,Clean/DB_13_2022-03-04T17:09:33+00:00.csv,31.989122,-81.833122,13,101792,1.0,E16.2,POINT (421296.65873702255 3539533.0918223835),92792,2022-03-05 18:56:05+00:00,29114.73357721478,5509.117106865904,33987167.0549647,4921571.752358646,5817627.664850395,Processed/DB_13_2022-03-04T17:09:33+00:00,820.75,43770,93015,2022-03-05 05:19:03+00:00,2022-03-05 18:59:48+00:00,109.6
36,2022-03-04T18:59:01+00:00,DB_666_2022-03-04T18:59:01+00:00,/home/jepaki/Projects/FortStewart/E_units,Clean/DB_666_2022-03-04T18:59:01+00:00.csv,32.000982,-81.818592,666,97547,1.0,E16.3,POINT (422679.2725069176 3540837.2593798777),85716,2022-03-05 18:47:37+00:00,8009.827317498611,3193.537672717965,2748425.0869966806,3840916.163008491,3821075.2247164454,Processed/DB_666_2022-03-04T18:59:01+00:00,15.316666666666666,85294,86213,2022-03-05 18:40:35+00:00,2022-03-05 18:55:54+00:00,20.3
37,2022-03-04T19:20:11+00:00,DB_11_2022-03-04T19:20:11+00:00,/home/jepaki/Projects/FortStewart/E_units,Clean/DB_11_2022-03-04T19:20:11+00:00.csv,31.99431,-81.807067,11,95356,1.0,E16.3,POINT (423762.3866516121 3540089.501537493),85834,2022-03-05 19:10:45+00:00,11649.215991279638,4657.10776828745,8964087.99550609,5608309.492577538,5597843.537481516,Processed/DB_11_2022-03-04T19:20:11+00:00,15.35,85465,86386,2022-03-05 19:04:36+00:00,2022-03-05 19:19:57+00:00,20.133333333333333
38,2022-03-04T18:33:58+00:00,DB_5B_2022-03-04T18:33:58+00:00,/home/jepaki/Projects/FortStewart/E_units,Clean/DB_5B_2022-03-04T18:33:58+00:00.csv,31.9999,-81.821527,5B,99043,1.0,E16.3,POINT (422401.1251042591 3540719.425314584),86230,2022-03-05 18:31:08+00:00,16172.570620245058,7545.315711457073,21926492.811414607,3291152.0494683743,3249288.360714018,Processed/DB_5B_2022-03-04T18:33:58+00:00,5.183333333333334,86108,86419,2022-03-05 18:29:06+00:00,2022-03-05 18:34:17+00:00,7.733333333333333
39,2022-03-04T17:14:07+00:00,DB_8_2022-03-04T17:14:07+00:00,/home/jepaki/Projects/FortStewart/E_units,Clean/DB_8_2022-03-04T17:14:07+00:00.csv,31.993792,-81.823402,8,102698,1.0,E16.3,POINT (422218.8570454697 3540043.716393776),0,2022-03-04 17:14:07+00:00,0.0,0.0,0.0,0.0,0.0,Processed/DB_8_2022-03-04T17:14:07+00:00,0.0,0,0,2022-03-04 17:14:07+00:00,2022-03-04 17:14:07+00:00,0.0
40,2022-03-05T16:55:01+00:00,DB_12_2022-03-05T16:55:01+00:00,/home/jepaki/Projects/FortStewart/E_units,Clean/DB_12_2022-03-05T16:55:01+00:00.csv,31.998525,-81.827362,12,15170,1.0,E16.2,POINT (421848.78600042715 3540571.2129943883),6271,2022-03-05 18:39:32+00:00,40077.19841809948,8769.74292342902,105553616.26261835,2612741.6280902694,2588987.3640809925,Processed/DB_12_2022-03-05T16:55:01+00:00,3.183333333333333,6264,6455,2022-03-05 18:39:25+00:00,2022-03-05 18:42:36+00:00,4.966666666666667
41,2022-03-04T16:48:47+00:00,DB_4_2022-03-04T16:48:47+00:00,/home/jepaki/Projects/FortStewart/E_units,Clean/DB_4_2022-03-04T16:48:47+00:00.csv,31.993678,-81.836022,4,104019,1.0,E16.2,POINT (421026.5973349008 3540040.227328145),94306,2022-03-05 19:00:33+00:00,50041.919430345646,9009.183532779696,105656854.61662225,6620580.982856075,6563643.3755484605,Processed/DB_4_2022-03-04T16:48:47+00:00,7.866666666666666,94302,94774,2022-03-05 19:00:29+00:00,2022-03-05 19:08:21+00:00,13.483333333333333
42,2022-03-04T19:40:16+00:00,DB_18_2022-03-04T19:40:16+00:00,/home/jepaki/Projects/FortStewart/E_units,Clean/DB_18_2022-03-04T19:40:16+00:00.csv,31.990973,-81.828923,18,92175,1.0,E16.2,POINT (421694.9146868996 3539735.222184096),83797,2022-03-05 18:56:53+00:00,22169.812998691592,4437.969651418823,17286800.417190075,2614923.427068287,2596212.2460800116,Processed/DB_18_2022-03-04T19:40:16+00:00,7.016666666666667,83592,84013,2022-03-05 18:53:28+00:00,2022-03-05 19:00:29+00:00,9.733333333333333
43,2022-03-04T16:17:49+00:00,DB_22_2022-03-04T16:17:49+00:00,/home/jepaki/Projects/FortStewart/E_units,Clean/DB_22_2022-03-04T16:17:49+00:00.csv,31.989313,-81.844642,22,103623,1.0,E16.2,POINT (420208.51849739085 3539562.7055733493),96111,2022-03-05 18:59:40+00:00,29390.196970624216,3667.25542758273,23529885.752409182,10021044.968552655,10050007.84744239,Processed/DB_22_2022-03-04T16:17:49+00:00,37.13333333333333,96086,98314,2022-03-05 18:59:15+00:00,2022-03-05 19:36:23+00:00,91.93333333333334
44,2022-03-04T18:11:43+00:00,DB_23_2022-03-04T18:11:43+00:00,/home/jepaki/Projects/FortStewart/E_units,Clean/DB_23_2022-03-04T18:11:43+00:00.csv,31.999043,-81.823077,23,99812,1.0,E16.3,POINT (422253.98929975723 3540625.542599227),87943,2022-03-05 18:37:26+00:00,42284.26616943225,7325.942138565076,95344624.49383184,3969344.389713282,3932248.047272254,Processed/DB_23_2022-03-04T18:11:43+00:00,5.183333333333334,87868,88179,2022-03-05 18:36:11+00:00,2022-03-05 18:41:22+00:00,9.316666666666666
45,2022-03-04T16:35:35+00:00,DB_21_2022-03-04T16:35:35+00:00,/home/jepaki/Projects/FortStewart/E_units,Clean/DB_21_2022-03-04T16:35:35+00:00.csv,31.992423,-81.82841,21,103908,1.0,E16.2,POINT (421744.6085436925 3539895.5796003556),95636,2022-03-05 19:09:31+00:00,20719.754224594322,4374.926922473463,21804169.480722655,2834412.227826924,2808220.304881055,Processed/DB_21_2022-03-04T16:35:35+00:00,8.566666666666666,95559,96073,2022-03-05 19:08:14+00:00,2022-03-05 19:16:48+00:00,12.933333333333334
46,2022-03-04T18:11:25+00:00,DB_15_2022-03-04T18:11:25+00:00,/home/jepaki/Projects/FortStewart/E_units,Clean/DB_15_2022-03-04T18:11:25+00:00.csv,31.987463,-81.823387,15,98236,1.0,E16.3,POINT (422214.93247717805 3539342.1527178045),93793,2022-03-05 20:14:38+00:00,4454.843616477828,1897.6219957273372,756549.0050307313,918019.2347579515,919267.4842143797,Processed/DB_15_2022-03-04T18:11:25+00:00,7.733333333333333,93410,93874,2022-03-05 20:08:15+00:00,2022-03-05 20:15:59+00:00,10.15
47,2022-03-04T17:27:22+00:00,DB_9_2022-03-04T17:27:22+00:00,/home/jepaki/Projects/FortStewart/E_units,Clean/DB_9_2022-03-04T17:27:22+00:00.csv,31.995128,-81.830107,9,100237,1.0,E16.2,POINT (421586.5990311544 3540196.651418052),91439,2022-03-05 18:51:21+00:00,34569.490905074585,10591.242857496469,114998110.2904112,3275129.2344819373,3240920.3143939194,Processed/DB_9_2022-03-04T17:27:22+00:00,3.45,91426,91633,2022-03-05 18:51:08+00:00,2022-03-05 18:54:35+00:00,5.083333333333333
