,dt,data_directory,clean_file,lat,lon,rad,N,sample_freq,burn_plot,geometry,max_FRP_index,max_FRP_datetime,max_FRP,MW_FRE,LW_FRE
36,2022-02-04T15:38:02+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_23_2022-02-04T15:38:02+00:00.csv,30.235735,-82.410127,23,11509,1.0,B1,POINT (-82.410127 30.235735),7707,2022-02-04T17:46:29+00:00,25884.72903879329,1695702.9260374089,1681158.3733140973
37,2022-02-04T12:54:37+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_14_2022-02-04T12:54:37+00:00.csv,30.236423,-82.412703,14,8882,1.0,C4,POINT (-82.412703 30.236423),8119,2022-02-04T15:09:56+00:00,18025.862620492346,2860535.857171603,2826807.5804402074
38,2022-02-04T15:51:30+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_14_2022-02-04T15:51:30+00:00.csv,30.235875,-82.409818,14,10731,1.0,B1,POINT (-82.409818 30.235875),7168,2022-02-04T17:50:58+00:00,24177.872414097765,1362217.4588113162,1352498.928872495
39,2022-02-04T13:00:27+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_A1_2022-02-04T13:00:27+00:00.csv,30.235875,-82.412217,A1,12237,1.0,B4,POINT (-82.412217 30.235875),9866,2022-02-04T15:44:53+00:00,31825.69522428629,4037945.901200016,3985700.713230859
40,2022-02-04T16:38:42+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_A1_2022-02-04T16:38:42+00:00.csv,30.235153,-82.409847,A1,8947,1.0,D1,POINT (-82.409847 30.235153),6725,2022-02-04T18:30:47+00:00,22982.51079232407,1662315.7084794564,1642109.713499394
41,2022-02-04T12:46:13+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_8_2022-02-04T12:46:13+00:00.csv,30.236013,-82.412605,8,12415,1.0,B4,POINT (-82.412605 30.236013),10317,2022-02-04T15:38:10+00:00,29414.342295515216,4368186.0796857225,4323075.0774089815
42,2022-02-04T16:34:50+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_8_2022-02-04T16:34:50+00:00.csv,30.23504,-82.410483,8,9703,1.0,D1,POINT (-82.410483 30.23504),6566,2022-02-04T18:24:16+00:00,10797.452610730204,1552846.103374089,1555331.0894145248
43,2022-02-04T13:11:46+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_19_2022-02-04T13:11:46+00:00.csv,30.236258,-82.411878,19,9791,1.0,B4,POINT (-82.411878 30.236258),8450,2022-02-04T15:32:36+00:00,41147.89734016387,3314709.0403192188,3283129.6648637033
44,2022-02-04T16:30:12+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_19_2022-02-04T16:30:12+00:00.csv,30.235322,-82.410408,19,9085,1.0,D1,POINT (-82.410408 30.235322),6743,2022-02-04T18:22:35+00:00,19306.119944870385,1252976.2867512193,1244386.1886234982
45,2022-02-04T13:59:37+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_15_2022-02-04T13:59:37+00:00.csv,30.2358,-82.411185,15,19635,1.0,B2,POINT (-82.411185 30.2358),10490,2022-02-04T16:54:27+00:00,26459.36701088319,2543771.8941247743,2550040.4808445293
