,dt,dataset,data_directory,clean_file,lat,lon,rad,N,sample_freq,geometry,burn_unit
33,2022-02-04 13:05:33+00:00,DATALOG_21_2022-02-04T13:05:33+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_21_2022-02-04T13:05:33+00:00.csv,30.23691,-82.412397,21,8198,1.0,POINT (364095.4703616778 3345881.0170954736),C4
34,2022-02-04 15:31:53+00:00,DATALOG_21_2022-02-04T15:31:53+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_21_2022-02-04T15:31:53+00:00.csv,30.23608,-82.410638,21,11498,1.0,POINT (364263.6022255999 3345786.928802001),B1
35,2022-02-04 13:01:58+00:00,DATALOG_23_2022-02-04T13:01:58+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_23_2022-02-04T13:01:58+00:00.csv,30.236695,-82.41247,23,8321,1.0,POINT (364088.1495344583 3345857.2761246366),C4
36,2022-02-04 15:38:02+00:00,DATALOG_23_2022-02-04T15:38:02+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_23_2022-02-04T15:38:02+00:00.csv,30.235735,-82.410127,23,11509,1.0,POINT (364312.3033509939 3345748.0832016347),B1
37,2022-02-04 12:54:37+00:00,DATALOG_14_2022-02-04T12:54:37+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_14_2022-02-04T12:54:37+00:00.csv,30.236423,-82.412703,14,8882,1.0,POINT (364065.3529921223 3345827.409118821),C4
38,2022-02-04 15:51:30+00:00,DATALOG_14_2022-02-04T15:51:30+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_14_2022-02-04T15:51:30+00:00.csv,30.235875,-82.409818,14,10731,1.0,POINT (364342.231759017 3345763.2306629317),B1
39,2022-02-04 13:00:27+00:00,DATALOG_A1_2022-02-04T13:00:27+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_A1_2022-02-04T13:00:27+00:00.csv,30.235875,-82.412217,A1,12237,1.0,POINT (364111.3681421052 3345766.094222059),B4
40,2022-02-04 16:38:42+00:00,DATALOG_A1_2022-02-04T16:38:42+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_A1_2022-02-04T16:38:42+00:00.csv,30.235153,-82.409847,A1,8947,1.0,POINT (364338.44930702925 3345683.2469009394),D1
41,2022-02-04 12:46:13+00:00,DATALOG_8_2022-02-04T12:46:13+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_8_2022-02-04T12:46:13+00:00.csv,30.236013,-82.412605,8,12415,1.0,POINT (364074.21954238834 3345781.8521905583),B4
42,2022-02-04 16:34:50+00:00,DATALOG_8_2022-02-04T16:34:50+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_8_2022-02-04T16:34:50+00:00.csv,30.23504,-82.410483,8,9703,1.0,POINT (364277.08923330676 3345671.481942266),D1
