Lambda[um],T_percent,T
0.647794260542852,65.15,0.6515
0.647836227001814,65.32,0.6532
0.647878198898607,65.43,0.6543
0.647920176234288,65.45,0.6545
0.647962159009914,65.37,0.6537
0.648004147226542,65.2,0.652
0.648046140885231,65.02,0.6502
0.648088139987038,64.9,0.649
0.648130144533022,64.89,0.6489
0.648172154524242,65.01,0.6501
0.648214169961755,65.23,0.6523
0.648256190846623,65.51,0.6551
0.648298217179903,65.77,0.6577
0.648340248962656,65.97,0.6597
0.648382286195941,66.07,0.6607
0.64842432888082,66.08,0.6608
0.648466377018352,66.04,0.6604
0.648508430609598,65.99,0.6599
0.64855048965562,65.98,0.6598
0.648592554157478,66.02,0.6602
0.648634624116235,66.1,0.661
0.648676699532953,66.19,0.6619
0.648718780408693,66.24,0.6624
0.648760866744518,66.26,0.6626
0.648802958541491,66.22,0.6622
0.648845055800675,66.16,0.6616
0.648887158523133,66.11,0.6611
0.648929266709929,66.1,0.661
0.648971380362126,66.14,0.6614
0.649013499480789,66.25,0.6625
0.649055624066983,66.39,0.6639
0.649097754121771,66.52,0.6652
0.649139889646219,66.62,0.6662
0.649182030641392,66.66,0.6666
0.649224177108356,66.65,0.6665
0.649266329048176,66.62,0.6662
0.649308486461918,66.58,0.6658
0.649350649350649,66.59,0.6659
0.649392817715436,66.65,0.6665
0.649434991557345,66.77,0.6677
0.649477170877444,66.92,0.6692
0.649519355676799,67.06,0.6706
0.649561545956479,67.16,0.6716
0.649603741717552,67.18,0.6718
0.649645942961086,67.1,0.671
0.64968814968815,66.95,0.6695
0.649730361899812,66.77,0.6677
0.649772579597141,66.6,0.666
0.649814802781207,66.48,0.6648
0.64985703145308,66.46,0.6646
0.64989926561383,66.54,0.6654
0.649941505264526,66.69,0.6669
0.64998375040624,66.87,0.6687
0.650026001040042,67.04,0.6704
0.650068257167003,67.17,0.6717
0.650110518788194,67.23,0.6723
0.650152785904688,67.23,0.6723
0.650195058517555,67.19,0.6719
0.650237336627869,67.15,0.6715
