Lambda[um],T_percent,T
1.50727259024795,67.91,0.6791
1.50738619234248,67.92,0.6792
1.50749981156252,67.87,0.6787
1.50761344791196,67.78,0.6778
1.50772710139465,67.66,0.6766
1.50784077201448,67.54,0.6754
1.50795445977531,67.44,0.6744
1.50806816468104,67.36,0.6736
1.50818188673554,67.31,0.6731
1.50829562594268,67.29,0.6729
1.50840938230636,67.29,0.6729
1.50852315583044,67.29,0.6729
1.50863694651882,67.3,0.673
1.50875075437538,67.28,0.6728
1.508864579404,67.23,0.6723
1.50897842160857,67.17,0.6717
1.50909228099298,67.12,0.6712
1.50920615756112,67.09,0.6709
1.50932005131688,67.12,0.6712
1.50943396226415,67.21,0.6721
1.50954789040682,67.35,0.6735
1.50966183574879,67.49,0.6749
1.50977579829395,67.6,0.676
1.5098897780462,67.64,0.6764
1.51000377500944,67.61,0.6761
1.51011778918756,67.53,0.6753
1.51023182058446,67.45,0.6745
1.51034586920405,67.41,0.6741
1.51045993505022,67.44,0.6744
1.51057401812689,67.53,0.6753
1.51068811843795,67.65,0.6765
1.51080223598731,67.77,0.6777
1.51091637077888,67.83,0.6783
1.51103052281656,67.84,0.6784
1.51114469210427,67.8,0.678
1.51125887864591,67.74,0.6774
1.5113730824454,67.69,0.6769
1.51148730350665,67.67,0.6767
1.51160154183357,67.67,0.6767
1.51171579743008,67.7,0.677
1.5118300703001,67.72,0.6772
1.51194436044754,67.72,0.6772
1.51205866787631,67.69,0.6769
1.51217299259035,67.64,0.6764
1.51228733459357,67.59,0.6759
1.5124016938899,67.56,0.6756
1.51251607048325,67.57,0.6757
1.51263046437755,67.62,0.6762
1.51274487557673,67.7,0.677
1.51285930408472,67.79,0.6779
1.51297374990544,67.88,0.6788
1.51308821304282,67.93,0.6793
1.51320269350079,67.93,0.6793
1.51331719128329,67.88,0.6788
1.51343170639425,67.79,0.6779
1.5135462388376,67.69,0.6769
1.51366078861727,67.6,0.676
1.51377535573721,67.53,0.6753
1.51388994020135,67.47,0.6747
1.51400454201363,67.43,0.6743
1.51411916117798,67.39,0.6739
1.51423379769836,67.34,0.6734
1.51434845157871,67.28,0.6728
1.51446312282296,67.22,0.6722
1.51457781143506,67.16,0.6716
1.51469251741896,67.14,0.6714
1.51480724077861,67.15,0.6715
1.51492198151795,67.22,0.6722
1.51503673964094,67.34,0.6734
1.51515151515152,67.48,0.6748
1.51526630805364,67.62,0.6762
1.51538111835127,67.73,0.6773
1.51549594604834,67.79,0.6779
1.51561079114883,67.81,0.6781
1.51572565365669,67.78,0.6778
1.51584053357587,67.74,0.6774
1.51595543091033,67.71,0.6771
1.51607034566404,67.72,0.6772
1.51618527784095,67.78,0.6778
1.51630022744503,67.87,0.6787
1.51641519448025,67.98,0.6798
1.51653017895056,68.07,0.6807
1.51664518085994,68.14,0.6814
1.51676020021235,68.17,0.6817
1.51687523701176,68.17,0.6817
1.51699029126214,68.14,0.6814
1.51710536296746,68.09,0.6809
1.51722045213169,68.03,0.6803
1.51733555875882,67.96,0.6796
1.51745068285281,67.88,0.6788
1.51756582441763,67.8,0.678
1.51768098345728,67.71,0.6771
1.51779615997572,67.63,0.6763
1.51791135397693,67.54,0.6754
1.5180265654649,67.47,0.6747
1.5181417944436,67.39,0.6739
1.51825704091703,67.33,0.6733
1.51837230488916,67.29,0.6729
1.51848758636398,67.28,0.6728
1.51860288534548,67.33,0.6733
1.51871820183765,67.43,0.6743
1.51883353584447,67.57,0.6757
1.51894888736994,67.73,0.6773
1.51906425641805,67.87,0.6787
1.51917964299278,67.97,0.6797
1.51929504709815,68.02,0.6802
1.51941046873813,68.03,0.6803
1.51952590791673,68.01,0.6801
1.51964136463795,67.99,0.6799
1.51975683890578,67.98,0.6798
1.51987233072422,67.99,0.6799
1.51998784009728,68,0.68
1.52010336702896,68.01,0.6801
1.52021891152326,67.99,0.6799
1.52033447358419,67.93,0.6793
1.52045005321575,67.85,0.6785
1.52056565042196,67.74,0.6774
1.52068126520681,67.61,0.6761
1.52079689757433,67.49,0.6749
1.52091254752852,67.39,0.6739
1.52102821507339,67.32,0.6732
1.52114390021296,67.29,0.6729
1.52125960295124,67.29,0.6729
1.52137532329226,67.3,0.673
1.52149106124002,67.31,0.6731
1.52160681679854,67.3,0.673
1.52172258997185,67.26,0.6726
1.52183838076396,67.22,0.6722
1.52195418917891,67.19,0.6719
1.5220700152207,67.21,0.6721
1.52218585889337,67.29,0.6729
1.52230172020094,67.41,0.6741
1.52241759914745,67.54,0.6754
1.52253349573691,67.66,0.6766
1.52264940997335,67.74,0.6774
1.52276534186082,67.78,0.6778
1.52288129140334,67.79,0.6779
1.52299725860493,67.79,0.6779
1.52311324346965,67.82,0.6782
1.52322924600152,67.86,0.6786
1.52334526620459,67.9,0.679
1.52346130408288,67.94,0.6794
1.52357735964044,67.95,0.6795
1.5236934328813,67.92,0.6792
