Lambda[um],T_percent,T
0.642425799820121,73.12,0.7312
0.64246707356248,73.42,0.7342
0.642508352608584,73.75,0.7375
0.642549636959455,74.03,0.7403
0.642590926616116,74.21,0.7421
0.64263222157959,74.28,0.7428
0.6426735218509,74.29,0.7429
0.642714827431069,74.28,0.7428
0.642756138321121,74.31,0.7431
0.64279745452208,74.4,0.744
0.64283877603497,74.53,0.7453
0.642880102860816,74.69,0.7469
0.642921435000643,74.81,0.7481
0.642962772455475,74.86,0.7486
0.643004115226337,74.84,0.7484
0.643045463314256,74.77,0.7477
0.643086816720257,74.69,0.7469
0.643128175445366,74.65,0.7465
0.64316953949061,74.68,0.7468
0.643210908857014,74.78,0.7478
0.643252283545607,74.92,0.7492
0.643293663557414,75.06,0.7506
0.643335048893464,75.14,0.7514
0.643376439554783,75.15,0.7515
0.643417835542401,75.09,0.7509
0.643459236857345,74.99,0.7499
0.643500643500644,74.88,0.7488
0.643542055473325,74.8,0.748
0.643583472776419,74.77,0.7477
0.643624895410954,74.8,0.748
0.643666323377961,74.86,0.7486
0.643707756678468,74.92,0.7492
0.643749195313506,74.98,0.7498
0.643790639284105,75.03,0.7503
0.643832088591295,75.06,0.7506
0.643873543236108,75.09,0.7509
0.643915003219575,75.13,0.7513
0.643956468542726,75.17,0.7517
0.643997939206595,75.19,0.7519
0.644039415212211,75.2,0.752
0.644080896560608,75.18,0.7518
0.644122383252818,75.14,0.7514
0.644163875289874,75.11,0.7511
0.644205372672808,75.11,0.7511
0.644246875402654,75.15,0.7515
0.644288383480446,75.24,0.7524
0.644329896907217,75.35,0.7535
0.644371415684,75.46,0.7546
0.644412939811831,75.53,0.7553
0.644454469291745,75.54,0.7554
0.644496004124775,75.5,0.755
0.644537544311956,75.42,0.7542
0.644579089854325,75.35,0.7535
0.644620640752917,75.35,0.7535
0.644662197008767,75.44,0.7544
0.644703758622913,75.63,0.7563
0.644745325596389,75.88,0.7588
0.644786897930234,76.16,0.7616
0.644828475625484,76.39,0.7639
0.644870058683175,76.53,0.7653
0.644911647104347,76.56,0.7656
0.644953240890035,76.5,0.765
0.64499484004128,76.4,0.764
0.645036444559118,76.31,0.7631
0.645078054444588,76.3,0.763
0.645119669698729,76.41,0.7641
0.645161290322581,76.63,0.7663
0.645202916317182,76.91,0.7691
0.645244547683572,77.18,0.7718
0.645286184422791,77.36,0.7736
0.64532782653588,77.38,0.7738
0.645369474023879,77.23,0.7723
0.645411126887828,76.96,0.7696
0.645452785128768,76.65,0.7665
0.645494448747741,76.41,0.7641
0.645536117745788,76.34,0.7634
0.645577792123951,76.48,0.7648
0.645619471883272,76.82,0.7682
0.645661157024793,77.29,0.7729
0.645702847549558,77.76,0.7776
0.645744543458608,78.11,0.7811
0.645786244752987,78.27,0.7827
0.645827951433738,78.2,0.782
0.645869663501905,77.93,0.7793
0.645911380958532,77.55,0.7755
0.645953103804664,77.2,0.772
0.645994832041344,76.96,0.7696
0.646036565669617,76.88,0.7688
0.646078304690529,76.97,0.7697
0.646120049105124,77.16,0.7716
0.646161798914448,77.37,0.7737
0.646203554119548,77.51,0.7751
0.646245314721468,77.52,0.7752
0.646287080721256,77.4,0.774
0.646328852119959,77.18,0.7718
0.646370628918622,76.94,0.7694
0.646412411118294,76.77,0.7677
0.646454198720021,76.73,0.7673
0.646495991724851,76.84,0.7684
0.646537790133833,77.1,0.771
0.646579593948015,77.45,0.7745
0.646621403168445,77.83,0.7783
0.646663217796172,78.16,0.7816
0.646705037832245,78.39,0.7839
0.646746863277713,78.52,0.7852
0.646788694133627,78.57,0.7857
0.646830530401035,78.56,0.7856
0.646872372080988,78.55,0.7855
0.646914219174538,78.56,0.7856
0.646956071682733,78.62,0.7862
0.646997929606625,78.72,0.7872
0.647039792947266,78.84,0.7884
0.647081661705707,78.94,0.7894
0.647123535883,79.01,0.7901
0.647165415480197,79.01,0.7901
0.64720730049835,78.95,0.7895
0.647249190938511,78.84,0.7884
0.647291086801735,78.71,0.7871
0.647332988089073,78.6,0.786
0.64737489480158,78.52,0.7852
0.647416806940308,78.5,0.785
0.647458724506313,78.56,0.7856
0.647500647500647,78.69,0.7869
0.647542575924367,78.89,0.7889
0.647584509778526,79.13,0.7913
0.64762644906418,79.38,0.7938
0.647668393782383,79.6,0.796
0.647710343934193,79.78,0.7978
0.647752299520663,79.88,0.7988
0.647794260542852,79.91,0.7991
0.647836227001814,79.88,0.7988
0.647878198898607,79.82,0.7982
0.647920176234288,79.75,0.7975
0.647962159009914,79.7,0.797
0.648004147226542,79.68,0.7968
0.648046140885231,79.68,0.7968
0.648088139987038,79.67,0.7967
0.648130144533022,79.63,0.7963
0.648172154524242,79.52,0.7952
0.648214169961755,79.35,0.7935
0.648256190846623,79.12,0.7912
0.648298217179903,78.87,0.7887
0.648340248962656,78.67,0.7867
0.648382286195941,78.56,0.7856
0.64842432888082,78.58,0.7858
0.648466377018352,78.73,0.7873
0.648508430609598,78.97,0.7897
0.64855048965562,79.25,0.7925
0.648592554157478,79.48,0.7948
0.648634624116235,79.62,0.7962
0.648676699532953,79.62,0.7962
0.648718780408693,79.51,0.7951
0.648760866744518,79.32,0.7932
0.648802958541491,79.12,0.7912
0.648845055800675,78.99,0.7899
0.648887158523133,78.96,0.7896
0.648929266709929,79.03,0.7903
0.648971380362126,79.16,0.7916
0.649013499480789,79.28,0.7928
0.649055624066983,79.32,0.7932
0.649097754121771,79.23,0.7923
0.649139889646219,79.02,0.7902
0.649182030641392,78.75,0.7875
0.649224177108356,78.49,0.7849
0.649266329048176,78.35,0.7835
0.649308486461918,78.4,0.784
0.649350649350649,78.67,0.7867
0.649392817715436,79.11,0.7911
0.649434991557345,79.65,0.7965
0.649477170877444,80.18,0.8018
0.649519355676799,80.6,0.806
0.649561545956479,80.85,0.8085
0.649603741717552,80.93,0.8093
0.649645942961086,80.89,0.8089
0.64968814968815,80.83,0.8083
0.649730361899812,80.83,0.8083
0.649772579597141,80.94,0.8094
0.649814802781207,81.14,0.8114
0.64985703145308,81.39,0.8139
0.64989926561383,81.6,0.816
0.649941505264526,81.7,0.817
