Lambda[um],T_percent,T
1.54023873700424,0.31,0.0031
1.54035736290819,0.15,0.0015
1.54047600708619,0.04,0.0004
1.54059466954244,-0.02,-0.0002
1.54071335028118,-0.02,-0.0002
1.54083204930663,0.02,0.0002
1.54095076662301,0.08,0.0008
1.54106950223455,0.12,0.0012
1.54118825614549,0.13,0.0013
1.54130702836005,0.12,0.0012
1.54142581888247,0.08,0.0008
1.54154462771697,0.04,0.0004
1.5416634548678,0.02,0.0002
1.54178230033919,0.05,0.0005
1.54190116413538,0.13,0.0013
1.5420200462606,0.24,0.0024
1.5421389467191,0.35,0.0035
1.54225786551511,0.43,0.0043
1.54237680265289,0.45,0.0045
1.54249575813667,0.41,0.0041
1.54261473197069,0.34,0.0034
1.54273372415921,0.25,0.0025
1.54285273470647,0.21,0.0021
1.54297176361673,0.21,0.0021
1.54309081089422,0.26,0.0026
1.54320987654321,0.32,0.0032
1.54332896056795,0.36,0.0036
1.54344806297268,0.36,0.0036
1.54356718376167,0.32,0.0032
1.54368632293918,0.28,0.0028
1.54380548050946,0.27,0.0027
1.54392465647676,0.33,0.0033
1.54404385084536,0.46,0.0046
1.54416306361952,0.62,0.0062
1.54428229480349,0.76,0.0076
1.54440154440154,0.83,0.0083
1.54452081241795,0.82,0.0082
1.54464009885697,0.74,0.0074
1.54475940372287,0.65,0.0065
1.54487872701993,0.6,0.006
1.54499806875241,0.61,0.0061
1.5451174289246,0.66,0.0066
1.54523680754076,0.71,0.0071
1.54535620460516,0.71,0.0071
1.54547562012209,0.63,0.0063
1.54559505409583,0.5,0.005
1.54571450653064,0.35,0.0035
1.54583397743082,0.22,0.0022
1.54595346680065,0.15,0.0015
1.5460729746444,0.13,0.0013
1.54619250096637,0.14,0.0014
1.54631204577084,0.13,0.0013
1.54643160906209,0.08,0.0008
1.54655119084442,-0.01,-0.0001
1.54667079112211,-0.11,-0.0011
1.54679040989946,-0.19,-0.0019
1.54691004718076,-0.23,-0.0023
1.5470297029703,-0.22,-0.0022
1.54714937727238,-0.18,-0.0018
1.54726907009129,-0.13,-0.0013
1.54738878143133,-0.07,-0.0007
1.54750851129681,0,0
1.54762825969202,0.08,0.0008
1.54774802662127,0.17,0.0017
1.54786781208885,0.27,0.0027
1.54798761609907,0.37,0.0037
1.54810743865624,0.46,0.0046
1.54822727976467,0.53,0.0053
1.54834713942866,0.57,0.0057
1.54846701765252,0.59,0.0059
1.54858691444057,0.59,0.0059
1.54870682979712,0.56,0.0056
1.54882676372648,0.51,0.0051
1.54894671623296,0.45,0.0045
1.54906668732089,0.39,0.0039
1.54918667699458,0.33,0.0033
1.54930668525835,0.28,0.0028
1.54942671211652,0.25,0.0025
1.54954675757341,0.22,0.0022
1.54966682163335,0.19,0.0019
1.54978690430066,0.14,0.0014
1.54990700557967,0.09,0.0009
1.5500271254747,0.06,0.0006
1.55014726399008,0.06,0.0006
1.55026742113015,0.1,0.001
1.55038759689923,0.16,0.0016
1.55050779130165,0.22,0.0022
1.55062800434176,0.25,0.0025
1.55074823602388,0.21,0.0021
1.55086848635236,0.13,0.0013
1.55098875533152,0.01,0.0001
1.55110904296572,-0.09,-0.0009
1.55122934925929,-0.14,-0.0014
1.55134967421657,-0.13,-0.0013
1.55147001784191,-0.06,-0.0006
1.55159038013964,0.03,0.0003
1.55171076111413,0.12,0.0012
1.55183116076971,0.18,0.0018
1.55195157911073,0.2,0.002
1.55207201614155,0.19,0.0019
1.55219247186651,0.17,0.0017
1.55231294628997,0.13,0.0013
1.55243343941629,0.11,0.0011
1.55255395124981,0.11,0.0011
1.55267448179489,0.13,0.0013
1.5527950310559,0.16,0.0016
1.55291559903719,0.19,0.0019
1.55303618574313,0.19,0.0019
1.55315679117807,0.14,0.0014
1.55327741534638,0.04,0.0004
1.55339805825243,-0.11,-0.0011
1.55351871990057,-0.27,-0.0027
1.55363940029519,-0.38,-0.0038
1.55376009944065,-0.43,-0.0043
1.55388081734131,-0.39,-0.0039
1.55400155400155,-0.31,-0.0031
1.55412230942575,-0.22,-0.0022
1.55424308361828,-0.15,-0.0015
1.55436387658351,-0.13,-0.0013
1.55448468832582,-0.12,-0.0012
1.55460551884959,-0.1,-0.001
1.5547263681592,-0.03,-0.0003
1.55484723625904,0.07,0.0007
1.55496812315348,0.16,0.0016
1.5550890288469,0.2,0.002
1.5552099533437,0.15,0.0015
1.55533089664826,0.04,0.0004
1.55545185876497,-0.08,-0.0008
1.55557283969822,-0.16,-0.0016
1.5556938394524,-0.14,-0.0014
1.55581485803189,-0.03,-0.0003
1.55593589544111,0.13,0.0013
1.55605695168443,0.26,0.0026
1.55617802676626,0.33,0.0033
1.556299120691,0.32,0.0032
1.55642023346304,0.28,0.0028
1.55654136508678,0.27,0.0027
1.55666251556663,0.32,0.0032
1.55678368490698,0.43,0.0043
1.55690487311225,0.58,0.0058
1.55702608018684,0.71,0.0071
1.55714730613516,0.76,0.0076
1.55726855096161,0.75,0.0075
1.55738981467061,0.67,0.0067
1.55751109726657,0.59,0.0059
1.55763239875389,0.52,0.0052
1.557753719137,0.48,0.0048
1.55787505842031,0.45,0.0045
1.55799641660824,0.42,0.0042
1.5581177937052,0.39,0.0039
1.55823918971562,0.37,0.0037
1.55836060464391,0.38,0.0038
1.55848203849451,0.46,0.0046
1.55860349127182,0.6,0.006
1.55872496298028,0.75,0.0075
1.55884645362432,0.87,0.0087
1.55896796320836,0.9,0.009
1.55908949173683,0.83,0.0083
1.55921103921416,0.68,0.0068
1.55933260564478,0.48,0.0048
1.55945419103314,0.3,0.003
1.55957579538366,0.16,0.0016
1.55969741870077,0.09,0.0009
1.55981906098893,0.07,0.0007
1.55994072225255,0.09,0.0009
1.5600624024961,0.1,0.001
1.560184101724,0.1,0.001
1.56030581994071,0.08,0.0008
1.56042755715066,0.02,0.0002
1.5605493133583,-0.05,-0.0005
1.56067108856808,-0.11,-0.0011
1.56079288278445,-0.16,-0.0016
1.56091469601186,-0.17,-0.0017
1.56103652825476,-0.15,-0.0015
1.5611583795176,-0.09,-0.0009
1.56128024980484,-0.02,-0.0002
1.56140213912093,0.04,0.0004
1.56152404747033,0.05,0.0005
1.5616459748575,0.03,0.0003
1.5617679212869,-0.01,-0.0001
1.56188988676298,-0.06,-0.0006
1.56201187129022,-0.07,-0.0007
1.56213387487308,-0.05,-0.0005
1.56225589751601,0,0
1.5623779392235,0.07,0.0007
1.5625,0.13,0.0013
1.56262207984999,0.2,0.002
1.56274417877793,0.27,0.0027
1.56286629678831,0.35,0.0035
1.56298843388559,0.43,0.0043
1.56311059007425,0.5,0.005
1.56323276535876,0.51,0.0051
1.56335495974361,0.44,0.0044
1.56347717323327,0.3,0.003
1.56359940583223,0.12,0.0012
1.56372165754496,-0.03,-0.0003
1.56384392837595,-0.11,-0.0011
1.56396621832968,-0.08,-0.0008
1.56408852741065,0.04,0.0004
1.56421085562334,0.18,0.0018
1.56433320297223,0.27,0.0027
1.56445556946183,0.26,0.0026
1.56457795509661,0.15,0.0015
1.56470035988108,-0.01,-0.0001
1.56482278381973,-0.15,-0.0015
1.56494522691706,-0.21,-0.0021
1.56506768917756,-0.18,-0.0018
1.56519017060573,-0.07,-0.0007
1.56531267120607,0.05,0.0005
1.56543519098309,0.14,0.0014
1.56555772994129,0.18,0.0018
1.56568028808517,0.17,0.0017
1.56580286541924,0.14,0.0014
1.56592546194801,0.13,0.0013
1.56604807767598,0.14,0.0014
1.56617071260767,0.16,0.0016
1.56629336674759,0.16,0.0016
1.56641604010025,0.12,0.0012
1.56653873267017,0.06,0.0006
1.56666144446185,0.01,0.0001
1.56678417547983,0,0
1.56690692572861,0.05,0.0005
1.56702969521272,0.13,0.0013
1.56715248393669,0.24,0.0024
1.56727529190502,0.32,0.0032
1.56739811912226,0.38,0.0038
1.56752096559291,0.4,0.004
1.56764383132152,0.43,0.0043
1.56776671631261,0.48,0.0048
1.56788962057071,0.57,0.0057
1.56801254410035,0.66,0.0066
1.56813548690607,0.74,0.0074
1.56825844899239,0.77,0.0077
1.56838143036386,0.74,0.0074
1.56850443102502,0.66,0.0066
1.56862745098039,0.55,0.0055
1.56875049023453,0.46,0.0046
1.56887354879197,0.41,0.0041
1.56899662665725,0.4,0.004
1.56911972383493,0.41,0.0041
1.56924284032954,0.4,0.004
1.56936597614564,0.35,0.0035
1.56948913128777,0.25,0.0025
1.56961230576048,0.12,0.0012
1.56973549956832,0.02,0.0002
1.56985871271586,-0.03,-0.0003
1.56998194520763,0,0
1.5701051970482,0.09,0.0009
1.57022846824213,0.19,0.0019
1.57035175879397,0.26,0.0026
1.57047506870828,0.26,0.0026
1.57059839798963,0.18,0.0018
1.57072174664258,0.05,0.0005
1.57084511467169,-0.08,-0.0008
1.57096850208153,-0.16,-0.0016
1.57109190887667,-0.17,-0.0017
1.57121533506167,-0.11,-0.0011
1.57133878064111,0,0
1.57146224561955,0.1,0.001
1.57158573000157,0.16,0.0016
1.57170923379175,0.16,0.0016
1.57183275699466,0.1,0.001
1.57195629961487,0.03,0.0003
1.57207986165697,-0.04,-0.0004
1.57220344312554,-0.07,-0.0007
1.57232704402516,-0.06,-0.0006
1.57245066436041,-0.01,-0.0001
1.57257430413587,0.07,0.0007
1.57269796335614,0.14,0.0014
1.57282164202579,0.18,0.0018
1.57294534014943,0.18,0.0018
1.57306905773163,0.16,0.0016
1.573192794777,0.11,0.0011
1.57331655129012,0.08,0.0008
1.57344032727559,0.05,0.0005
1.573564122738,0.06,0.0006
1.57368793768196,0.08,0.0008
1.57381177211206,0.1,0.001
1.5739356260329,0.1,0.001
1.57405949944908,0.07,0.0007
1.57418339236521,0.01,0.0001
1.57430730478589,-0.08,-0.0008
1.57443123671574,-0.16,-0.0016
1.57455518815935,-0.23,-0.0023
1.57467915912133,-0.25,-0.0025
1.5748031496063,-0.22,-0.0022
1.57492715961887,-0.16,-0.0016
1.57505118916365,-0.07,-0.0007
1.57517523824525,0.03,0.0003
1.57529930686831,0.11,0.0011
1.57542339503742,0.16,0.0016
1.57554750275721,0.18,0.0018
1.5756716300323,0.18,0.0018
1.57579577686732,0.17,0.0017
1.57591994326688,0.16,0.0016
1.57604412923562,0.18,0.0018
