Lambda[um],T_percent,T
1.62628069604814,0.1,0.001
1.62654521795706,0.11,0.0011
1.62680982593135,0.09,0.0009
1.62707452001302,0.09,0.0009
1.6273393002441,0.09,0.0009
1.62760416666667,0.08,0.0008
1.62786911932281,0.05,0.0005
1.62813415825464,0.04,0.0004
1.62839928350432,0.04,0.0004
1.62866449511401,0.06,0.0006
1.62892979312592,0.06,0.0006
1.62919517758227,0.06,0.0006
1.62946064852534,0.06,0.0006
1.62972620599739,0.06,0.0006
1.62999185004075,0.06,0.0006
1.63025758069775,0.08,0.0008
1.63052339801076,0.08,0.0008
1.63078930202218,0.07,0.0007
1.63105529277443,0.07,0.0007
1.63132137030995,0.07,0.0007
1.63158753467124,0.06,0.0006
1.63185378590078,0.04,0.0004
1.63212012404113,0.02,0.0002
1.63238654913484,0.02,0.0002
1.63265306122449,0.03,0.0003
1.63291966035271,0.02,0.0002
1.63318634656214,0.02,0.0002
1.63345311989546,0.03,0.0003
1.63371998039536,0.05,0.0005
1.63398692810458,0.05,0.0005
1.63425396306586,0.06,0.0006
1.634521085322,0.07,0.0007
1.63478829491581,0.09,0.0009
1.63505559189012,0.09,0.0009
1.63532297628782,0.09,0.0009
1.63559044815178,0.09,0.0009
1.63585800752495,0.08,0.0008
1.63612565445026,0.07,0.0007
1.63639338897071,0.06,0.0006
1.6366612111293,0.03,0.0003
1.63692912096906,0.02,0.0002
1.63719711853307,0.03,0.0003
1.63746520386442,0.05,0.0005
1.63773337700622,0.07,0.0007
1.63800163800164,0.09,0.0009
1.63826998689384,0.11,0.0011
1.63853842372604,0.11,0.0011
1.63880694854146,0.1,0.001
1.63907556138338,0.08,0.0008
1.63934426229508,0.06,0.0006
1.63961305131989,0.03,0.0003
1.63988192850115,0.03,0.0003
1.64015089388224,0.03,0.0003
1.64041994750656,0.04,0.0004
1.64068908941756,0.04,0.0004
1.64095831965868,0.04,0.0004
1.64122763827343,0.04,0.0004
1.64149704530532,0.04,0.0004
1.6417665407979,0.03,0.0003
1.64203612479475,0.03,0.0003
1.64230579733946,0.05,0.0005
1.64257555847569,0.06,0.0006
1.64284540824708,0.07,0.0007
1.64311534669734,0.06,0.0006
1.64338537387017,0.06,0.0006
1.64365548980934,0.06,0.0006
1.64392569455861,0.06,0.0006
1.64419598816179,0.06,0.0006
1.64446637066272,0.04,0.0004
1.64473684210526,0.04,0.0004
1.64500740253331,0.06,0.0006
1.64527805199079,0.06,0.0006
1.64554879052164,0.05,0.0005
1.64581961816985,0.04,0.0004
1.64609053497942,0.06,0.0006
1.6463615409944,0.09,0.0009
1.64663263625885,0.1,0.001
1.64690382081686,0.09,0.0009
1.64717509471257,0.08,0.0008
1.64744645799012,0.07,0.0007
1.64771791069369,0.06,0.0006
1.6479894528675,0.04,0.0004
1.64826108455579,0.03,0.0003
1.64853280580284,0.04,0.0004
1.64880461665293,0.05,0.0005
1.6490765171504,0.05,0.0005
1.6493485073396,0.05,0.0005
1.64962058726493,0.06,0.0006
1.6498927569708,0.07,0.0007
1.65016501650165,0.06,0.0006
1.65043736590196,0.04,0.0004
1.65070980521624,0.04,0.0004
1.65098233448902,0.05,0.0005
1.65125495376486,0.05,0.0005
1.65152766308836,0.05,0.0005
1.65180046250413,0.04,0.0004
