Lambda[um],T
7.750000000000002,0.9446
7.8000000000000025,0.9441
7.850000000000002,0.9431
7.900000000000002,0.9422
7.950000000000002,0.9412
8.000000000000004,0.9403
8.050000000000002,0.9393
8.100000000000003,0.9377
8.150000000000002,0.9364
8.200000000000003,0.9349
8.250000000000002,0.9336
8.300000000000002,0.9317
8.350000000000003,0.9299
8.400000000000002,0.9284
8.450000000000003,0.9265
8.500000000000002,0.9244
8.550000000000002,0.9217
8.600000000000003,0.9197
8.650000000000002,0.9171
8.700000000000003,0.9146
8.750000000000002,0.9109
8.800000000000002,0.9083
8.850000000000003,0.9044
8.900000000000002,0.9012
8.950000000000003,0.8977
9.000000000000002,0.8942
9.050000000000002,0.8898
9.100000000000003,0.8854
9.150000000000002,0.8812
9.200000000000003,0.8763
9.250000000000004,0.8721
9.300000000000002,0.8668
9.350000000000003,0.8616
9.400000000000002,0.8553
9.450000000000003,0.8502
9.500000000000004,0.8429
9.550000000000002,0.837
9.600000000000003,0.8292
9.650000000000002,0.823
9.700000000000003,0.8147
9.750000000000004,0.8078
9.800000000000002,0.8001
9.850000000000003,0.7922
9.900000000000002,0.7834
9.950000000000003,0.775
10.000000000000004,0.7641
10.050000000000002,0.7563
10.100000000000003,0.7466
10.150000000000002,0.7361
10.200000000000003,0.7252
10.250000000000004,0.7139
10.300000000000002,0.7017
10.350000000000003,0.6922
10.400000000000004,0.6789
10.450000000000003,0.6657
10.500000000000004,0.6541
10.550000000000002,0.64
10.600000000000003,0.6277
10.650000000000004,0.6123
10.700000000000003,0.5999
10.750000000000004,0.5864
10.800000000000002,0.5695
10.850000000000003,0.5559
10.900000000000004,0.5418
10.950000000000003,0.5277
11.000000000000004,0.5134
11.050000000000002,0.4963
11.100000000000003,0.4824
11.150000000000004,0.4687
11.200000000000003,0.4547
11.250000000000004,0.4405
11.300000000000002,0.427
11.350000000000003,0.4164
11.400000000000004,0.4022
11.450000000000003,0.3878
11.500000000000004,0.3729
11.550000000000004,0.3581
11.600000000000003,0.3471
11.650000000000004,0.3314
11.700000000000003,0.3159
11.750000000000004,0.3043
11.800000000000004,0.2886
11.850000000000003,0.2722
11.900000000000004,0.2598
11.950000000000003,0.2428
12.000000000000004,0.2304
12.050000000000004,0.2132
12.100000000000003,0.2002
12.150000000000004,0.1869
12.200000000000003,0.1681
12.250000000000004,0.1548
12.300000000000004,0.141
12.350000000000003,0.1222
12.400000000000004,0.1097
12.450000000000005,0.0969
12.500000000000004,0.0809
12.550000000000004,0.0701
12.600000000000003,0.0612
12.650000000000004,0.054
12.700000000000005,0.0468
12.750000000000004,0.0408
12.800000000000004,0.0362
12.850000000000003,0.0315
12.900000000000004,0.0275
12.950000000000005,0.0243
13.000000000000004,0.0216
13.050000000000004,0.0195
13.100000000000003,0.0168
13.150000000000004,0.0146
13.200000000000005,0.0126
13.250000000000004,0.0107
13.300000000000004,0.009
13.350000000000003,0.0081
13.400000000000004,0.0065
13.450000000000005,0.0054
13.500000000000004,0.0044
13.550000000000004,0.0042
13.600000000000005,0.0035
13.650000000000004,0.0028
13.700000000000005,0.0022
13.750000000000004,0.0017
13.800000000000004,0.0018
13.850000000000005,0.0023
13.900000000000004,0.0019
13.950000000000005,0.0014
14.000000000000004,0.0025
14.050000000000004,0.0025
14.100000000000005,0.0024
14.150000000000004,0.0029
14.200000000000005,0.0025
14.250000000000004,0.0025
14.300000000000004,0.0023
14.350000000000005,0.0026
14.400000000000004,0.0028
14.450000000000005,0.0024
14.500000000000005,0.0019
14.550000000000004,0.0017
14.600000000000005,0.0018
14.650000000000004,0.0018
14.700000000000005,0.0015
14.750000000000005,0.0015
14.800000000000004,0.0014
14.850000000000005,0.0017
14.900000000000004,0.0017
14.950000000000005,0.0005
15.000000000000005,0.001
15.050000000000004,0.0005
15.100000000000005,0.0004
15.150000000000004,0.0003
15.200000000000005,0.0001
15.250000000000005,0.0007
15.300000000000004,0.0007
15.350000000000005,0.0004
15.400000000000004,0.0005
15.450000000000005,0.0004
15.500000000000005,0.0009
15.550000000000004,0.001
15.600000000000005,0.0015
15.650000000000006,0.0011
15.700000000000005,0.001
15.750000000000005,0.0016
15.800000000000004,0.0007
15.850000000000005,0.0004
15.900000000000006,0.0006
15.950000000000005,0.0007
16.000000000000007,0.001
16.050000000000004,0.0006
16.10000000000001,0.0009
16.150000000000006,0.0012
16.200000000000006,0.0008
16.250000000000007,0.0005
16.300000000000008,0.0017
16.35000000000001,0.001
16.400000000000006,0.0007
16.450000000000006,0.001
16.500000000000007,0.0014
16.550000000000008,0.0009
16.60000000000001,0.0
16.650000000000006,0.0006
16.700000000000006,0.0007
16.750000000000007,0.0007
16.800000000000008,0.0006
16.85000000000001,0.0016
16.900000000000006,0.0018
16.950000000000006,0.0012
17.000000000000007,0.0005
17.050000000000008,0.0008
17.10000000000001,0.001
17.150000000000006,0.0006
17.200000000000006,0.0004
17.250000000000007,0.0012
17.300000000000008,0.0008
17.35000000000001,0.0021
17.400000000000006,0.0016
17.450000000000006,0.0023
17.500000000000007,0.0019
17.550000000000008,0.0013
17.60000000000001,0.0011
