Lambda[um],T
7.750000000000002,0.0002
7.8000000000000025,0.0001
7.850000000000002,0.0001
7.900000000000002,0.0001
7.950000000000002,0.0001
8.000000000000004,0.0001
8.050000000000002,0.0002
8.100000000000003,0.0001
8.150000000000002,0.0002
8.200000000000003,0.0002
8.250000000000002,0.0002
8.300000000000002,0.0002
8.350000000000003,0.0001
8.400000000000002,0.0
8.450000000000003,0.0002
8.500000000000002,0.0001
8.550000000000002,0.0001
8.600000000000003,0.0
8.650000000000002,0.0002
8.700000000000003,0.0002
8.750000000000002,0.0001
8.800000000000002,0.0002
8.850000000000003,0.0002
8.900000000000002,0.0
8.950000000000003,0.0001
9.000000000000002,0.0002
9.050000000000002,0.0001
9.100000000000003,0.0
9.150000000000002,0.0001
9.200000000000003,0.0001
9.250000000000004,0.0001
9.300000000000002,0.0
9.350000000000003,0.0003
9.400000000000002,0.0
9.450000000000003,0.0001
9.500000000000004,0.0001
9.550000000000002,0.0001
9.600000000000003,0.0001
9.650000000000002,0.0002
9.700000000000003,0.0002
9.750000000000004,0.0001
9.800000000000002,0.0001
9.850000000000003,0.0001
9.900000000000002,0.0002
9.950000000000003,0.0001
10.000000000000004,0.0002
10.050000000000002,0.0001
10.100000000000003,0.0003
10.150000000000002,0.0003
10.200000000000003,0.0001
10.250000000000004,0.0002
10.300000000000002,0.0001
10.350000000000003,0.0
10.400000000000004,0.0002
10.450000000000003,0.0001
10.500000000000004,0.0003
10.550000000000002,0.0002
10.600000000000003,0.0001
10.650000000000004,0.0001
10.700000000000003,0.0
10.750000000000004,0.0001
10.800000000000002,0.0001
10.850000000000003,0.0002
10.900000000000004,0.0001
10.950000000000003,0.0001
11.000000000000004,0.0003
11.050000000000002,0.0002
11.100000000000003,0.0002
11.150000000000004,0.0003
11.200000000000003,0.0001
11.250000000000004,0.0002
11.300000000000002,0.0002
11.350000000000003,0.0002
11.400000000000004,0.0002
11.450000000000003,0.0002
11.500000000000004,0.0002
11.550000000000004,0.0003
11.600000000000003,0.0002
11.650000000000004,0.0001
11.700000000000003,0.0003
11.750000000000004,0.0002
11.800000000000004,0.0001
11.850000000000003,0.0002
11.900000000000004,0.0006
11.950000000000003,0.0004
12.000000000000004,0.0003
12.050000000000004,0.0003
12.100000000000003,0.0003
12.150000000000004,0.0003
12.200000000000003,0.0007
12.250000000000004,0.0004
12.300000000000004,0.0003
12.350000000000003,0.0002
12.400000000000004,0.0007
12.450000000000005,0.0002
12.500000000000004,0.0003
12.550000000000004,0.0005
12.600000000000003,0.0001
12.650000000000004,0.0001
12.700000000000005,0.0001
12.750000000000004,0.0004
12.800000000000004,0.0005
12.850000000000003,0.0002
12.900000000000004,0.0002
12.950000000000005,0.0005
13.000000000000004,0.0001
13.050000000000004,0.0007
13.100000000000003,0.0002
13.150000000000004,0.0004
13.200000000000005,0.0004
13.250000000000004,0.0003
13.300000000000004,0.0001
13.350000000000003,0.0001
13.400000000000004,0.0003
13.450000000000005,0.0005
13.500000000000004,0.0005
13.550000000000004,0.0006
13.600000000000005,0.0003
13.650000000000004,0.0003
13.700000000000005,0.0005
13.750000000000004,0.0002
13.800000000000004,0.0005
13.850000000000005,0.0004
13.900000000000004,0.0001
13.950000000000005,0.0003
14.000000000000004,0.0001
14.050000000000004,0.0002
14.100000000000005,0.0003
14.150000000000004,0.0005
14.200000000000005,0.0002
14.250000000000004,0.0002
14.300000000000004,0.0004
14.350000000000005,0.0006
14.400000000000004,0.0005
14.450000000000005,0.0003
14.500000000000005,0.0001
14.550000000000004,0.0001
14.600000000000005,0.0005
14.650000000000004,0.0002
14.700000000000005,0.0004
14.750000000000005,0.0002
14.800000000000004,0.0003
14.850000000000005,0.0008
14.900000000000004,0.0008
14.950000000000005,0.0004
15.000000000000005,0.001
15.050000000000004,0.001
15.100000000000005,0.0005
15.150000000000004,0.0001
15.200000000000005,0.0001
15.250000000000005,0.001
15.300000000000004,0.0005
15.350000000000005,0.0001
15.400000000000004,0.0009
15.450000000000005,0.0007
15.500000000000005,0.0003
15.550000000000004,0.0004
15.600000000000005,0.0001
15.650000000000006,0.0005
15.700000000000005,0.0003
15.750000000000005,0.0004
15.800000000000004,0.0004
15.850000000000005,0.001
15.900000000000006,0.0005
15.950000000000005,0.0007
16.000000000000007,0.0003
16.050000000000004,0.0001
16.10000000000001,0.0003
16.150000000000006,0.0013
16.200000000000006,0.0012
16.250000000000007,0.0009
16.300000000000008,0.0008
16.35000000000001,0.0004
16.400000000000006,0.0007
16.450000000000006,0.0003
16.500000000000007,0.0005
16.550000000000008,0.0011
16.60000000000001,0.0031
16.650000000000006,0.0043
16.700000000000006,0.0014
16.750000000000007,0.0007
16.800000000000008,0.0002
16.85000000000001,0.0015
16.900000000000006,0.0011
16.950000000000006,0.0003
17.000000000000007,0.0006
17.050000000000008,0.0005
17.10000000000001,0.0014
17.150000000000006,0.0012
17.200000000000006,0.0013
17.250000000000007,0.0012
17.300000000000008,0.001
17.35000000000001,0.0009
17.400000000000006,0.0001
17.450000000000006,0.0002
17.500000000000007,0.0009
17.550000000000008,0.0006
17.60000000000001,0.0014
