Lambda[um],T
7.8000000000000025,0.6998
7.850000000000002,0.6979
7.900000000000002,0.6975
7.950000000000002,0.6977
8.000000000000004,0.6975
8.050000000000002,0.6987
8.100000000000003,0.6977
8.150000000000002,0.6991
8.200000000000003,0.6984
8.250000000000002,0.6998
8.300000000000002,0.6982
8.350000000000003,0.7001
8.400000000000002,0.6997
8.450000000000003,0.6997
8.500000000000002,0.6981
8.550000000000002,0.7003
8.600000000000003,0.6989
8.650000000000002,0.6991
8.700000000000003,0.699
8.750000000000002,0.7003
8.800000000000002,0.7
8.850000000000003,0.7005
8.900000000000002,0.7012
8.950000000000003,0.7015
9.000000000000002,0.7024
9.050000000000002,0.7021
9.100000000000003,0.7014
9.150000000000002,0.7006
9.200000000000003,0.7012
9.250000000000004,0.7039
9.300000000000002,0.7021
9.350000000000003,0.7007
9.400000000000002,0.7028
9.450000000000003,0.703
9.500000000000004,0.6997
9.550000000000002,0.7047
9.600000000000003,0.7
9.650000000000002,0.7012
9.700000000000003,0.703
9.750000000000004,0.7004
9.800000000000002,0.7041
9.850000000000003,0.7005
9.900000000000002,0.7015
9.950000000000003,0.7028
10.000000000000004,0.7019
10.050000000000002,0.702
10.100000000000003,0.7042
10.150000000000002,0.702
10.200000000000003,0.7032
10.250000000000004,0.7032
10.300000000000002,0.7028
10.350000000000003,0.703
10.400000000000004,0.7013
10.450000000000003,0.7026
10.500000000000004,0.7029
10.550000000000002,0.7031
10.600000000000003,0.7034
10.650000000000004,0.7043
10.700000000000003,0.704
10.750000000000004,0.7021
10.800000000000002,0.7033
10.850000000000003,0.7033
10.900000000000004,0.704
10.950000000000003,0.704
11.000000000000004,0.7045
11.050000000000002,0.7039
11.100000000000003,0.7027
11.150000000000004,0.7056
11.200000000000003,0.7029
11.250000000000004,0.7018
11.300000000000002,0.7048
11.350000000000003,0.7037
11.400000000000004,0.7039
11.450000000000003,0.702
11.500000000000004,0.704
11.550000000000004,0.7065
11.600000000000003,0.7035
11.650000000000004,0.7031
11.700000000000003,0.7044
11.750000000000004,0.7032
11.800000000000004,0.7033
11.850000000000003,0.7035
11.900000000000004,0.7063
11.950000000000003,0.7043
12.000000000000004,0.7033
12.050000000000004,0.7031
12.100000000000003,0.7029
12.150000000000004,0.7032
12.200000000000003,0.7016
12.250000000000004,0.7036
12.300000000000004,0.7049
12.350000000000003,0.7047
12.400000000000004,0.701
12.450000000000005,0.7041
12.500000000000004,0.7048
12.550000000000004,0.7044
12.600000000000003,0.7053
12.650000000000004,0.7045
12.700000000000005,0.7034
12.750000000000004,0.7048
12.800000000000004,0.7034
12.850000000000003,0.702
12.900000000000004,0.7047
12.950000000000005,0.7076
13.000000000000004,0.7061
13.050000000000004,0.703
13.100000000000003,0.7039
13.150000000000004,0.7069
13.200000000000005,0.7048
13.250000000000004,0.7044
13.300000000000004,0.7044
13.350000000000003,0.7049
13.400000000000004,0.7071
13.450000000000005,0.7043
13.500000000000004,0.7039
13.550000000000004,0.7041
13.600000000000005,0.7026
13.650000000000004,0.7042
13.700000000000005,0.7041
13.750000000000004,0.7063
13.800000000000004,0.7063
13.850000000000005,0.7033
13.900000000000004,0.7035
13.950000000000005,0.7065
14.000000000000004,0.7033
14.050000000000004,0.7043
14.100000000000005,0.7028
14.150000000000004,0.7049
14.200000000000005,0.7068
14.250000000000004,0.7058
14.300000000000004,0.7046
14.350000000000005,0.705
14.400000000000004,0.7036
14.450000000000005,0.7029
14.500000000000005,0.7065
14.550000000000004,0.7074
14.600000000000005,0.7042
14.650000000000004,0.7046
14.700000000000005,0.7011
14.750000000000005,0.7059
14.800000000000004,0.7096
14.850000000000005,0.7072
14.900000000000004,0.7051
14.950000000000005,0.6986
15.000000000000005,0.7088
15.050000000000004,0.7073
15.100000000000005,0.7117
15.150000000000004,0.7079
15.200000000000005,0.705
15.250000000000005,0.7086
15.300000000000004,0.7055
15.350000000000005,0.7061
15.400000000000004,0.7072
15.450000000000005,0.7087
15.500000000000005,0.7061
15.550000000000004,0.706
15.600000000000005,0.7041
15.650000000000006,0.7052
15.700000000000005,0.7073
15.750000000000005,0.71
15.800000000000004,0.7068
15.850000000000005,0.7079
15.900000000000006,0.7061
15.950000000000005,0.7085
16.000000000000007,0.7112
16.050000000000004,0.7122
16.10000000000001,0.7133
16.150000000000006,0.7114
16.200000000000006,0.7094
16.250000000000007,0.7087
16.300000000000008,0.7077
16.35000000000001,0.7063
16.400000000000006,0.7096
16.450000000000006,0.706
16.500000000000007,0.7096
16.550000000000008,0.7096
16.60000000000001,0.7034
16.650000000000006,0.6972
16.700000000000006,0.7089
16.750000000000007,0.709
16.800000000000008,0.7128
16.85000000000001,0.708
16.900000000000006,0.709
16.950000000000006,0.7092
17.000000000000007,0.7092
17.050000000000008,0.7048
17.10000000000001,0.7052
17.150000000000006,0.7104
17.200000000000006,0.7109
17.250000000000007,0.712
17.300000000000008,0.7101
17.35000000000001,0.7135
17.400000000000006,0.7143
17.450000000000006,0.7081
17.500000000000007,0.7069
17.550000000000008,0.7103
17.60000000000001,0.7126
17.650000000000006,0.7133
17.700000000000006,0.7149
