Lambda[um],%T
29.25,0.0009
29.3,0.0009
29.35,0.0009
29.4,0.0009
29.45,0.0009
29.5,0.0009
29.55,0.0009
29.6,0.0009
29.65,0.0009
29.7,0.0009
29.75,0.0009
29.8,0.0009
29.85,0.0009
29.9,0.0009
29.95,0.0009
30,0.0009
